0	AM001_禮賓府																
5	AM002_西望洋聖堂及主教私邸	AM002_西望洋聖堂及主教私邸_鮑公馬路_20200925_T	AM002_西望洋聖堂及主教私邸_鮑公馬路_20200925_F1	AM002_西望洋聖堂及主教私邸_鮑公馬路_20200925_F2							AM002_西望洋聖堂及主教私邸_鮑公馬路_20200925_D1	AM002_西望洋聖堂及主教私邸_鮑公馬路_20200925_D2					
3	AM003_聖若瑟修院大樓	AM003_聖若瑟修院大樓_崗頂前地_20200928_T	AM003_聖若瑟修院大樓_崗頂前地_20200928_F1	AM003_聖若瑟修院大樓_崗頂前地_20200928_F2													
5	AM004_東方基金會會址	AM004_東方基金會會址(原賈梅士花園房屋舊址)_白鴿巢前地13號_20200915_T	AM004_東方基金會會址(原賈梅士花園房屋舊址)_白鴿巢前地13號_20200915_F1	AM004_東方基金會會址(原賈梅士花園房屋舊址)_白鴿巢前地13號_20200915_F2							AM004_東方基金會會址(原賈梅士花園房屋舊址)_白鴿巢前地13號_20200915_D1	AM004_東方基金會會址(原賈梅士花園房屋舊址)_白鴿巢前地13號_20200915_D2					
4	AM005_何東圖書大館	AM005_何東圖書大館_崗頂前地3號_20200811_T	AM005_何東圖書大館_崗頂前地3號_20200811_F1	AM005_何東圖書大館_崗頂前地3號_20200811_F2	AM005_何東圖書大館_崗頂前地3號_20200811_F3												
4	AM006_陸軍俱樂部大樓	AM006_陸軍俱樂部大樓_南灣大馬路975號_20201017_T	AM006_陸軍俱樂部大樓_南灣大馬路975號_20201017_F1	AM006_陸軍俱樂部大樓_南灣大馬路975號_20201017_F2	AM006_陸軍俱樂部大樓_南灣大馬路975號_20201017_F3												
4	AM007_海事及水務局大樓	AM007_海事及水務局大樓(原摩爾兵營舊址)_媽閣斜巷_萬里長城_20200925_T	AM007_海事及水務局大樓(原摩爾兵營舊址)_媽閣斜巷_萬里長城_20200925_F1	AM007_海事及水務局大樓(原摩爾兵營舊址)_媽閣斜巷_萬里長城_20200925_F2	AM007_海事及水務局大樓(原摩爾兵營舊址)_媽閣斜巷_萬里長城_20200925_F3												
4	AM008_消防局大樓	AM008_消防局大樓_連勝馬路_20200911_T	AM008_消防局大樓_連勝馬路_20200911_F1	AM008_消防局大樓_連勝馬路_20200911_F2	AM008_消防局大樓_連勝馬路_20200911_F3												
4	AM009_郵政局總部大樓	AM009_郵政局總部大樓_亞美打利庇盧大馬路_新馬路126號_20200907_T	AM009_郵政局總部大樓_亞美打利庇盧大馬路_新馬路126號_20200907_F1	AM009_郵政局總部大樓_亞美打利庇盧大馬路_新馬路126號_20200907_F2	AM009_郵政局總部大樓_亞美打利庇盧大馬路_新馬路126號_20200907_F3												
5	AM010_紅街市大樓	AM010_紅街市大樓_罅些喇提督大馬路_提督馬路110號_20200922_T	AM010_紅街市大樓_罅些喇提督大馬路_提督馬路110號_20200922_F1	AM010_紅街市大樓_罅些喇提督大馬路_提督馬路110號_20200922_F2	AM010_紅街市大樓_罅些喇提督大馬路_提督馬路110號_20200922_F3	AM010_紅街市大樓_罅些喇提督大馬路_提督馬路110號_20200922_F4											
5	AM011_春草堂(盧廉若公園)	AM011_春草堂(盧廉若公園)_盧廉若公園_20200825_T	AM011_春草堂(盧廉若公園)_盧廉若公園_20200825_F1	AM011_春草堂(盧廉若公園)_盧廉若公園_20200825_F2	AM011_春草堂(盧廉若公園)_盧廉若公園_20200825_F3	AM011_春草堂(盧廉若公園)_盧廉若公園_20200825_F4											
